# started_utc=2025-11-04T11:32:27.651693Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:32:41.961573Z,113,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,12,0,0,0,0,201,201,0,0,0,0
2025-11-04T11:32:42.094633Z,114,1,0,Classroom,1,8.0,,global,30,30,22,6,9,47,41,14,12,0,0,0,0,204,204,0,0,0,0
2025-11-04T11:32:42.218021Z,115,1,0,Classroom,1,8.0,,global,30,30,22,6,9,46,42,14,12,0,0,0,0,207,207,0,0,0,0
2025-11-04T11:32:42.342035Z,116,1,0,Classroom,1,8.0,,global,30,30,21,7,9,46,41,14,12,0,0,0,0,210,210,0,0,0,0
2025-11-04T11:32:42.465827Z,117,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,42,14,12,0,0,0,0,213,213,0,0,0,0
2025-11-04T11:32:42.591556Z,118,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,11,0,0,0,0,216,216,0,0,0,0
2025-11-04T11:32:42.716984Z,119,1,0,Classroom,1,8.0,,global,30,30,22,7,9,46,41,14,12,0,0,0,0,219,219,0,0,0,0
2025-11-04T11:32:42.841402Z,120,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,12,0,0,0,0,222,222,0,0,0,0
2025-11-04T11:32:42.965459Z,121,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,12,0,0,0,0,225,225,0,0,0,0
2025-11-04T11:32:43.089836Z,122,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,12,0,0,0,0,228,228,0,0,0,0
2025-11-04T11:32:43.214375Z,123,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,11,0,0,0,0,231,231,0,0,0,0
2025-11-04T11:32:43.346531Z,124,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,12,0,0,0,0,234,234,0,0,0,0
2025-11-04T11:32:43.477623Z,125,1,0,Classroom,1,8.0,,global,30,30,22,7,9,46,41,14,12,0,0,0,0,237,237,0,0,0,0
2025-11-04T11:32:43.601987Z,126,1,0,Classroom,1,8.0,,global,30,30,21,6,9,45,41,14,11,0,0,0,0,240,240,0,0,0,0
2025-11-04T11:32:43.724997Z,127,1,0,Classroom,1,8.0,,global,30,30,22,6,9,47,42,14,12,0,0,0,0,243,243,0,0,0,0
2025-11-04T11:32:43.850257Z,128,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,11,0,0,0,0,246,246,0,0,0,0
